		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01.08.23	10:15	18.4	18.4	18.3	44	6.0	3.1	NW	2.82	4.9	WNW	18.4	17.2	17.2	1012.6	0.00	0.0	0.000	0.001	18.1	59	9.9	17.6	10.95	1.1974	350	1	100.0	15
01.08.23	10:30	18.7	18.7	18.4	41	5.1	3.1	NW	2.82	4.9	NW	18.7	17.3	17.3	1012.6	0.00	0.0	0.000	0.003	18.3	59	10.1	17.8	10.95	1.1963	343	1	100.0	15
01.08.23	10:45	19.0	19.2	18.7	37	4.0	3.1	NW	2.82	4.9	NW	19.0	17.4	17.4	1012.5	0.00	0.0	0.000	0.007	18.8	59	10.6	18.3	10.95	1.1936	352	1	100.0	15
01.08.23	11:00	19.3	19.3	18.9	38	4.6	2.7	WNW	2.41	4.0	NW	19.3	17.7	17.7	1012.7	0.00	0.0	0.000	0.010	19.4	60	11.4	19.1	11.05	1.1905	345	1	100.0	15
01.08.23	11:15	19.4	19.6	19.3	36	4.0	2.7	NW	2.41	4.9	NW	19.4	17.8	17.8	1012.6	0.00	0.0	0.000	0.012	19.9	59	11.6	19.7	10.95	1.1882	350	1	100.0	15
01.08.23	11:30	19.5	19.5	19.3	37	4.4	2.2	WNW	2.01	4.5	WNW	19.5	17.9	17.9	1012.6	0.00	0.0	0.000	0.012	20.2	59	11.9	19.9	10.95	1.1865	342	1	100.0	15
01.08.23	11:45	19.7	19.8	19.5	34	3.4	1.8	WNW	1.61	4.5	NW	19.7	17.9	17.9	1012.6	0.00	0.0	0.000	0.014	20.5	58	12.0	20.1	10.75	1.1853	349	1	100.0	15
01.08.23	12:00	19.6	19.8	19.6	39	5.2	3.1	WNW	2.82	5.8	WNW	19.6	18.1	18.1	1012.5	0.00	0.0	0.000	0.013	20.7	58	12.1	20.2	10.75	1.1844	344	1	100.0	15
01.08.23	12:15	19.5	19.7	19.5	32	2.4	3.1	WNW	2.82	5.4	NW	19.5	17.6	17.6	1012.5	0.00	0.0	0.000	0.012	20.9	57	12.0	20.3	10.56	1.1835	351	1	100.0	15
01.08.23	12:30	19.7	19.7	19.5	39	5.3	2.2	WNW	2.01	5.4	W	19.7	18.2	18.2	1012.4	0.00	0.0	0.000	0.014	21.2	57	12.4	20.7	10.54	1.1818	345	1	100.0	15
01.08.23	12:45	19.8	19.9	19.7	41	6.2	2.7	NW	2.41	4.9	WNW	19.8	18.6	18.6	1012.4	0.00	0.0	0.000	0.016	21.6	57	12.7	21.2	10.51	1.1797	351	1	100.0	15
01.08.23	13:00	18.9	19.8	18.9	40	5.0	3.1	NW	2.82	5.4	WNW	18.9	17.4	17.4	1012.5	0.00	0.0	0.000	0.006	21.8	56	12.6	21.3	10.33	1.1794	345	1	100.0	15
01.08.23	13:15	18.5	19.6	18.5	40	4.6	3.1	WNW	2.82	4.9	WNW	18.5	17.1	17.1	1012.3	0.00	0.0	0.000	0.002	22.0	56	12.8	21.7	10.32	1.1780	349	1	100.0	15
01.08.23	13:30	19.7	19.9	18.5	42	6.4	3.1	NW	2.82	5.4	W	19.7	18.4	18.4	1012.3	0.00	0.0	0.000	0.014	22.3	56	13.1	22.1	10.31	1.1765	344	1	100.0	15
01.08.23	13:45	18.0	19.7	18.0	43	5.2	3.1	NW	2.82	5.4	WNW	18.0	16.7	16.7	1012.2	0.00	0.0	0.003	0.000	22.2	55	12.7	21.9	10.11	1.1770	350	1	100.0	15
01.08.23	14:00	19.4	19.4	17.9	44	6.9	3.1	NW	2.82	6.3	WNW	19.4	18.3	18.3	1012.1	0.00	0.0	0.000	0.012	22.3	55	12.8	22.0	10.11	1.1767	347	1	100.0	15
01.08.23	14:15	19.9	19.9	19.4	41	6.2	3.1	NW	2.82	4.9	WNW	19.9	18.6	18.6	1012.1	0.00	0.0	0.000	0.016	22.7	55	13.2	22.7	10.09	1.1744	348	1	100.0	15
01.08.23	14:30	19.9	19.9	19.6	43	7.0	2.7	NW	2.41	5.4	NW	19.9	18.8	18.8	1012.2	0.00	0.0	0.000	0.017	23.1	54	13.3	23.1	9.88	1.1729	344	1	100.0	15
01.08.23	14:45	19.8	20.0	19.4	44	7.2	2.7	NW	2.41	5.4	W	19.8	18.7	18.7	1012.0	0.00	0.0	0.000	0.016	23.3	54	13.5	23.4	9.87	1.1715	349	1	100.0	15
01.08.23	15:00	18.7	19.9	18.7	44	6.2	2.7	NW	2.41	5.4	NW	18.7	17.5	17.5	1011.8	0.00	0.0	0.000	0.004	23.4	54	13.6	23.6	9.87	1.1707	347	1	100.0	15
01.08.23	15:15	18.6	18.9	18.6	48	7.4	2.2	NW	2.01	4.0	NNW	18.6	17.6	17.6	1011.7	0.00	0.0	0.000	0.003	23.7	54	13.8	23.8	9.86	1.1695	349	1	100.0	15
01.08.23	15:30	18.3	18.6	18.3	47	6.8	1.8	NW	1.61	3.6	NW	18.3	17.2	17.2	1011.8	0.00	0.0	0.000	0.000	23.8	53	13.6	23.9	9.66	1.1694	346	1	100.0	15
01.08.23	15:45	17.6	18.3	17.6	45	5.5	3.6	NW	3.22	5.8	NW	17.2	16.4	15.9	1011.6	0.00	0.0	0.008	0.000	23.6	52	13.2	23.7	9.56	1.1704	350	1	100.0	15
01.08.23	16:00	17.4	17.7	17.4	47	6.0	3.6	NW	3.22	5.8	NW	16.9	16.3	15.8	1011.7	0.00	0.0	0.009	0.000	23.4	52	13.0	23.4	9.57	1.1713	346	1	100.0	15
01.08.23	16:15	17.4	17.7	17.4	46	5.7	3.6	NW	3.22	5.4	NW	16.9	16.2	15.7	1011.7	0.00	0.0	0.009	0.000	23.3	51	12.6	23.2	9.37	1.1724	345	1	100.0	15
01.08.23	16:30	17.1	17.4	17.0	48	6.0	2.7	WNW	2.41	4.5	NNW	17.1	15.9	15.9	1011.9	0.00	0.0	0.013	0.000	22.9	50	12.0	22.7	9.25	1.1747	345	1	100.0	15
01.08.23	16:45	17.1	17.2	17.1	50	6.5	2.7	NW	2.41	4.5	NW	17.1	16.0	16.0	1011.9	0.00	0.0	0.013	0.000	22.6	50	11.7	22.3	9.25	1.1764	345	1	100.0	15
01.08.23	17:00	16.9	17.1	16.8	51	6.7	2.2	NW	2.01	4.0	NW	16.9	15.9	15.9	1011.9	0.00	0.0	0.015	0.000	22.6	50	11.6	22.2	9.25	1.1767	349	1	100.0	15
01.08.23	17:15	16.1	16.9	16.1	56	7.3	2.2	SE	2.01	5.8	SSE	16.1	15.3	15.3	1012.4	0.00	0.0	0.023	0.000	22.2	51	11.6	21.8	9.41	1.1785	344	1	100.0	15
